id,user,place,date,content,likeCount,retweetCount,replyCount,lang,sourceLabel,media
1.5205E+18,"{'username': 'denis52874745', 'id': 1416041183218913281, 'displayname': 'InfoflightCR', 'description': 'Monitoring  Civil & Interesting Aircraft - Aviation Photography -Aviation, News - ADS-B', 'rawDescription': 'Monitoring  Civil & Interesting Aircraft - Aviation Photography -Aviation, News - ADS-B', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 7, 16, 14, 25, 12, tzinfo=datetime.timezone.utc), 'followersCount': 34, 'friendsCount': 12, 'statusesCount': 21779, 'favouritesCount': 0, 'listedCount': 1, 'mediaCount': 2705, 'location': 'Costa Rica', 'protected': False, 'linkUrl': 'https://github.com/kx1t/docker-planefence', 'linkTcourl': 'https://t.co/ViUoMJ1sAf', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1499142418960166916/JwKmre6l_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1416041183218913281/1646258574', 'label': None}",,2022-04-30 20:07:45+00:00,"ICAO: C058C3
Flt: ACA1097 #AirCanada
First seen: 2022/04/30 14:05:16
Min Alt: 3575 ft MSL
Min Dist: 13.78 nm

#planefence #adsb - docker:kx1t/planefence
https://t.co/N4huaXy0NY",0,0,0,en,planefen,
1.52049E+18,"{'username': 'IWanttoFish', 'id': 535817646, 'displayname': 'IWantToFish.com', 'description': 'Who wants to go fishing in 2021! IWantToFish.com #lodge #guide #charter #resort Check us out today and send yourself somewhere great!', 'rawDescription': 'Who wants to go fishing in 2021! https://t.co/6Bg7WlOuqi #lodge #guide #charter #resort Check us out today and send yourself somewhere great!', 'descriptionUrls': [{'text': 'IWantToFish.com', 'url': 'http://www.IWantToFish.com', 'tcourl': 'https://t.co/6Bg7WlOuqi', 'indices': (33, 56)}], 'verified': False, 'created': datetime.datetime(2012, 3, 24, 21, 36, 4, tzinfo=datetime.timezone.utc), 'followersCount': 11734, 'friendsCount': 9562, 'statusesCount': 5054, 'favouritesCount': 181, 'listedCount': 60, 'mediaCount': 1669, 'location': 'International', 'protected': False, 'linkUrl': 'http://www.iwanttofish.com', 'linkTcourl': 'https://t.co/QbrlgX73PZ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/618636181954101250/rzj62Yh3_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/535817646/1427563057', 'label': None}",,2022-04-30 19:38:51+00:00,"Nice of #AirCanada @AirCanada to first change our paid seats, assign us different ones of a similar quality then give us different ones of lesser quality a day before departure. Nice way to start a trip @AirCanada. Now a frustrating hour wait on the phone to talk to someone.",0,0,0,en,Twitter for iPhone,
1.52047E+18,"{'username': 'jobansarkaria01', 'id': 3223348801, 'displayname': 'Joban Sarkaria', 'description': ""ਨੀਚਹ ਊਚ ਕਰੈ ਮੇਰਾ ਗੋਬਿੰਦ 🙏🏻\nਲਿਖਾਰੀ 📝\nਲਾਹੋਰ 💗 ਅੰਮ੍ਰਿਤਸਰ 💓ਜਲੰਧਰ\nWriting's Page - @jobansarkariawrites✍️\nਬਿਲਿਅਾਂ ਅੱਖਾਂ ਵਾਲਾ\n👻sc- jobansarkaria"", 'rawDescription': ""ਨੀਚਹ ਊਚ ਕਰੈ ਮੇਰਾ ਗੋਬਿੰਦ 🙏🏻\nਲਿਖਾਰੀ 📝\nਲਾਹੋਰ 💗 ਅੰਮ੍ਰਿਤਸਰ 💓ਜਲੰਧਰ\nWriting's Page - @jobansarkariawrites✍️\nਬਿਲਿਅਾਂ ਅੱਖਾਂ ਵਾਲਾ\n👻sc- jobansarkaria"", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2015, 5, 22, 13, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 50, 'friendsCount': 386, 'statusesCount': 903, 'favouritesCount': 740, 'listedCount': 0, 'mediaCount': 43, 'location': 'Jalandhar', 'protected': False, 'linkUrl': 'http://www.instagram.com/itsjobansarkaria', 'linkTcourl': 'https://t.co/TWgYTtEumt', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/927778250264231936/PBRruY29_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3223348801/1510034544', 'label': None}",,2022-04-30 18:10:53+00:00,"@AirCanada @MUC_Airport  I am a student going to study in canada . I have booked Air Canada flight from New Delhi to Toronto ,Canada for Aug,11th . Layover is in Munich of 10 hrs . Do I require Transit Visa ? Please help #Aircanada #munichairport",0,0,1,en,Twitter for Android,
1.52046E+18,"{'username': 'AirplanesAbout', 'id': 843617958370926592, 'displayname': ""It's About Airplanes"", 'description': 'High resolution airliner images with more added on a nearly daily basis. Based at, but not inclusive to, YYZ.', 'rawDescription': 'High resolution airliner images with more added on a nearly daily basis. Based at, but not inclusive to, YYZ.', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2017, 3, 20, 0, 19, 29, tzinfo=datetime.timezone.utc), 'followersCount': 1457, 'friendsCount': 975, 'statusesCount': 1781, 'favouritesCount': 604, 'listedCount': 8, 'mediaCount': 773, 'location': 'Orangeville, Ontario', 'protected': False, 'linkUrl': 'http://airplanes.itsabouttravelling.com/', 'linkTcourl': 'https://t.co/JWdNnsNxVt', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/843626341832376320/4w9lJ30E_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/843617958370926592/1489971632', 'label': None}",,2022-04-30 17:59:49+00:00,"We've slowly started adding new planes to the site for the first time in a long time - this Air Canada Airbus A220-300 was eye-catching in its ""Turning Red"" livery...
https://t.co/Vq5DUj5wdO
#TurningRed #PixarTurningRed #aircanada #airbusa220",0,2,0,en,Twitter Web App,
1.52046E+18,"{'username': 'denis52874745', 'id': 1416041183218913281, 'displayname': 'InfoflightCR', 'description': 'Monitoring  Civil & Interesting Aircraft - Aviation Photography -Aviation, News - ADS-B', 'rawDescription': 'Monitoring  Civil & Interesting Aircraft - Aviation Photography -Aviation, News - ADS-B', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2021, 7, 16, 14, 25, 12, tzinfo=datetime.timezone.utc), 'followersCount': 34, 'friendsCount': 12, 'statusesCount': 21779, 'favouritesCount': 0, 'listedCount': 1, 'mediaCount': 2705, 'location': 'Costa Rica', 'protected': False, 'linkUrl': 'https://github.com/kx1t/docker-planefence', 'linkTcourl': 'https://t.co/ViUoMJ1sAf', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1499142418960166916/JwKmre6l_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1416041183218913281/1646258574', 'label': None}",,2022-04-30 17:30:26+00:00,"ICAO: C058C3
Flt: ACA1097 #AirCanada
First seen: 2022/04/30 11:28:54
Min Alt: 30500 ft MSL
Min Dist: 71.93 nm

#planefence #adsb - docker:kx1t/planefence
https://t.co/N4huaXy0NY",0,0,0,en,planefen,
1.52042E+18,"{'username': 'Sooki101', 'id': 137517994, 'displayname': 'Sooki', 'description': 'hello', 'rawDescription': 'hello', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2010, 4, 27, 0, 14, 9, tzinfo=datetime.timezone.utc), 'followersCount': 84, 'friendsCount': 1043, 'statusesCount': 6407, 'favouritesCount': 4932, 'listedCount': 11, 'mediaCount': 23, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2787484724/ee83a94614b427d4f42c41956bbaf8c2_normal.jpeg', 'profileBannerUrl': None, 'label': None}",,2022-04-30 15:27:31+00:00,"@AirCanada @dvinice @AirCanada you’re unable to answer a simple question, will stop flying with aircanada #aircanada #refund",0,0,0,en,Twitter for iPad,
1.52042E+18,"{'username': 'HaqAmtul', 'id': 1299293152965210114, 'displayname': 'Amtul Haq Ayesha', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 8, 28, 10, 30, 23, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 3, 'statusesCount': 4, 'favouritesCount': 2, 'listedCount': 0, 'mediaCount': 0, 'location': 'Jeddah, Kingdom of Saudi Arabi', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",,2022-04-30 15:18:02+00:00,"Air Canada missed my baggage on a flight from Cairo-Frankfurt-Toronto. And even after 3 days, they are unable to trace where the baggage is. Worst experience ever with #AirCanada ... extremely poor customer support.",0,1,0,en,Twitter for Android,
1.5204E+18,"{'username': 'AboveBracknell', 'id': 1330087399624503296, 'displayname': 'Above Bracknell Bot ✈️', 'description': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'rawDescription': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 11, 21, 9, 55, 38, tzinfo=datetime.timezone.utc), 'followersCount': 190, 'friendsCount': 20, 'statusesCount': 100687, 'favouritesCount': 4, 'listedCount': 8, 'mediaCount': 100077, 'location': 'Bracknell', 'protected': False, 'linkUrl': 'https://git.io/Jk5fA', 'linkTcourl': 'https://t.co/FPRwKxQo6U', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1332309465316651010/wAz0VI_z_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1330087399624503296/1610140068', 'label': {'description': 'Automated', 'url': None, 'badgeUrl': 'https://pbs.twimg.com/semantic_core_img/1428827730364096519/4ZXpTBhS?format=png&name=orig', 'longDescription': 'Automated by @scott_aero'}}",,2022-04-30 13:46:56+00:00,"🇨🇦 C-FIVM #AIRCANADA #ACA857: 1.5mi away heading W, travelling 320mph @ 8825ft [Air Canada - #BOEING 777-333] [100 Tracked Flights @ 02:46:00 PM] #AboveBracknell #RG12 #RG42 #ADSB I've seen this aircraft 22 times before! https://t.co/m5Mmv3MJmi",1,0,0,en,ADSBPi,"[{'previewUrl': 'https://pbs.twimg.com/media/FRmLG-pXwAAsl_C?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRmLG-pXwAAsl_C?format=jpg&name=large'}]"
1.5204E+18,"{'username': 'AboveBracknell', 'id': 1330087399624503296, 'displayname': 'Above Bracknell Bot ✈️', 'description': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'rawDescription': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 11, 21, 9, 55, 38, tzinfo=datetime.timezone.utc), 'followersCount': 190, 'friendsCount': 20, 'statusesCount': 100687, 'favouritesCount': 4, 'listedCount': 8, 'mediaCount': 100077, 'location': 'Bracknell', 'protected': False, 'linkUrl': 'https://git.io/Jk5fA', 'linkTcourl': 'https://t.co/FPRwKxQo6U', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1332309465316651010/wAz0VI_z_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1330087399624503296/1610140068', 'label': {'description': 'Automated', 'url': None, 'badgeUrl': 'https://pbs.twimg.com/semantic_core_img/1428827730364096519/4ZXpTBhS?format=png&name=orig', 'longDescription': 'Automated by @scott_aero'}}",,2022-04-30 13:35:31+00:00,"🇨🇦 C-GHKW #AIRCANADA #ACA865: 0.2mi away heading WNW, travelling 325mph @ 9100ft [Air Canada - #AIRBUS A330-343X] [80 Tracked Flights @ 02:34:39 PM] #AboveBracknell #RG12 #RG42 #ADSB I've seen this aircraft 8 times before! https://t.co/sHmcoPPSsl",0,0,0,en,ADSBPi,"[{'previewUrl': 'https://pbs.twimg.com/media/FRmIfyHXEAMoPbz?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRmIfyHXEAMoPbz?format=jpg&name=large'}]"
1.52037E+18,"{'username': 'AboveBracknell', 'id': 1330087399624503296, 'displayname': 'Above Bracknell Bot ✈️', 'description': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'rawDescription': ""I'm a Bracknell-based Raspberry Pi #ADSB bot looking at the skies above me. Find my code on GitHub."", 'descriptionUrls': None, 'verified': False, 'created': datetime.datetime(2020, 11, 21, 9, 55, 38, tzinfo=datetime.timezone.utc), 'followersCount': 190, 'friendsCount': 20, 'statusesCount': 100687, 'favouritesCount': 4, 'listedCount': 8, 'mediaCount': 100077, 'location': 'Bracknell', 'protected': False, 'linkUrl': 'https://git.io/Jk5fA', 'linkTcourl': 'https://t.co/FPRwKxQo6U', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1332309465316651010/wAz0VI_z_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1330087399624503296/1610140068', 'label': {'description': 'Automated', 'url': None, 'badgeUrl': 'https://pbs.twimg.com/semantic_core_img/1428827730364096519/4ZXpTBhS?format=png&name=orig', 'longDescription': 'Automated by @scott_aero'}}",,2022-04-30 11:40:41+00:00,"🇨🇦 C-FKAU #AIRCANADA #ACA855: 1.7mi away heading W, travelling 319mph @ 8000ft [Air Canada - #BOEING 777-300] [99 Tracked Flights @ 12:39:50 PM] #AboveBracknell #RG12 #RG42 #ADSB I've seen this aircraft 1 time before! https://t.co/Mu9tY96ZVj",0,0,0,en,ADSBPi,"[{'previewUrl': 'https://pbs.twimg.com/media/FRluNp2X0AAsBTa?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FRluNp2X0AAsBTa?format=jpg&name=large'}]"
